player_id,player_name,pos,foot,birth_date,weight,height,team,gols,assistencias,soma_gol_assist
55990,T. Delaney,MID,left,19910903,71,182,Denmark,0,1,1
220112,Trézéguet,MID,right,19941001,71,179,Egypt,0,0,0
286390,O. Dembélé,FWD,both,19970515,67,178,France,0,0,0
122623,Fahad Al Muwallad,FWD,right,19940914,65,168,Saudi Arabia,0,0,0
221039,H. Ziyech,MID,left,19930319,65,180,Morocco,0,0,0
288091,Marco Asensio,MID,left,19960121,76,182,Spain,0,0,0
25726,K. Koulibaly,DEF,right,19910620,89,195,Senegal,0,0,0
25998,Y. Belhanda,MID,right,19900225,74,175,Morocco,0,0,0
26100,N. Sliti,MID,right,19920727,75,173,Tunisia,0,0,0
26115,S. Sané,DEF,right,19900825,85,196,Senegal,0,0,0
125286,G. González,DEF,right,19880208,77,186,Costa Rica,0,0,0
70129,Rodrigo,FWD,left,19910306,77,182,Spain,0,0,0
224593,J. Kimmich,DEF,right,19950208,70,176,Germany,0,0,0
127796,F. Kostić,MID,left,19921101,82,184,Serbia,0,0,0
424241,N. Milenković,DEF,right,19971012,91,195,Serbia,0,0,0
424624,O. Etebo,FWD,right,19951109,70,176,Nigeria,0,0,0
32798,G. Svensson,MID,right,19870207,83,184,Sweden,0,0,0
331763,Y. Meriah,DEF,right,19930702,74,188,Tunisia,0,0,0
138633,Hyun-Soo Jang,DEF,right,19910928,77,187,Korea Republic,0,0,0
79449,M. Pouraliganji,DEF,right,19920419,80,185,Iran,0,0,0
299121,Jae-Sung Lee,MID,left,19920810,70,180,Korea Republic,0,0,0
91263,R. Torres,DEF,right,19860320,96,187,Panama,0,0,0
401861,J. Rodriguez,MID,left,19980619,70,178,Panama,0,0,0
107529,Yong Lee,DEF,right,19861224,76,180,Korea Republic,0,0,0
285538,M. Hosseini,DEF,right,19960620,76,183,Iran,0,0,0
125284,J. Acosta,DEF,right,19830721,77,178,Costa Rica,0,0,0
273683,F. Escobar,DEF,right,19950109,75,182,Panama,0,0,0
77521,A. Gunnarsson,MID,right,19890422,70,177,Iceland,0,0,0
91502,A. Uribe,MID,right,19910321,71,182,Colombia,0,0,0
78991,O. Ebrahimi,MID,right,19870916,72,177,Iran,0,0,0
79098,R. Rezaeian,DEF,right,19900321,79,185,Iran,0,0,0
79320,M. Taremi,FWD,right,19920718,80,187,Iran,0,0,0
122839,Osama Hawsawi,DEF,right,19840331,83,188,Saudi Arabia,0,0,0
119975,Mohamed Abdel-Shafi,DEF,left,19850701,75,179,Egypt,0,0,0
120156,Ahmed Fathy,DEF,right,19841110,73,175,Egypt,0,0,0
120167,Abdallah Said,MID,right,19850713,71,175,Egypt,0,1,1
241077,Y. Bárcenas,MID,right,19931023,75,175,Panama,0,0,0
56394,H. Dalsgaard,DEF,right,19890727,79,192,Denmark,0,0,0
122940,Yasir Al Shahrani,DEF,right,19920525,63,170,Saudi Arabia,0,0,0
25706,I. Gueye,MID,right,19890926,72,174,Senegal,0,0,0
125260,D. Guzmán,MID,right,19900218,79,178,Costa Rica,0,0,0
139393,Abdullah Otayf,MID,right,19920803,66,177,Saudi Arabia,0,1,1
53562,S. Ghoddos,FWD,right,19930906,75,176,Iran,0,0,0
59083,G. Gómez,MID,right,19840529,76,189,Panama,0,0,0
86414,A. Godoy,MID,left,19900210,75,182,Panama,0,0,0
28094,A. Badri,FWD,right,19900918,70,177,Tunisia,0,0,0
237836,V. Amiri,MID,left,19880402,75,179,Iran,0,0,0
28529,Y. Sabaly,DEF,right,19930305,67,173,Senegal,0,0,0
122615,Hattan Bahbir,MID,right,19920716,66,170,Saudi Arabia,0,0,0
94814,G. Shōji,DEF,right,19921211,74,182,Japan,0,0,0
437417,Tarek Hamed,MID,right,19881024,74,179,Egypt,0,0,0
54451,B. Sævarsson,DEF,right,19841111,74,187,Iceland,0,0,0
95490,Woo-Young Jung,MID,right,19891214,78,186,Korea Republic,0,0,0
292954,Mohammed Al Burayk,DEF,right,19920915,61,173,Saudi Arabia,0,0,0
32793,A. N'Diaye,MID,right,19900306,82,187,Senegal,0,0,0
93,J. Guðmunds­son,MID,left,19901027,77,186,Iceland,0,0,0
151,J. Guidetti,FWD,right,19920415,79,185,Sweden,0,0,0
405,L. Schöne,MID,right,19860527,78,177,Denmark,0,0,0
360992,D. Zakaria,MID,right,19961120,80,191,Switzerland,0,1,1
99391,M. Rybus,DEF,left,19890819,75,173,Poland,0,0,0
395636,Maxi Gómez,FWD,right,19960814,87,186,Uruguay,0,0,0
115146,M. Trauco,DEF,left,19920825,67,175,Peru,0,0,0
3318,S. Khedira,MID,right,19870404,85,189,Germany,0,0,0
3319,M. Özil,MID,left,19881015,76,180,Germany,0,0,0
3345,Thiago Alcântara,MID,right,19910411,70,174,Spain,0,0,0
3434,Filipe Luis,DEF,left,19850809,73,182,Brazil,0,0,0
3445,E. Salvio,MID,right,19900713,77,173,Argentina,0,0,0
101796,M. Ureña,FWD,right,19900305,70,179,Costa Rica,0,0,0
3714,C. Stuani,FWD,right,19861012,72,184,Uruguay,0,0,0
135150,A. Cornelius,FWD,left,19930316,79,193,Denmark,0,0,0
4498,Lucas Vázquez,FWD,right,19910701,70,173,Spain,0,0,0
70156,A. Carrillo,MID,right,19910614,78,181,Peru,0,0,0
72397,Simy,FWD,right,19920507,84,198,Nigeria,0,0,0
105334,Douglas Costa,MID,left,19900914,65,170,Brazil,0,1,1
7918,P. Jones,DEF,right,19920221,71,185,England,0,0,0
8192,M. Olsson,DEF,left,19880517,81,178,Sweden,0,0,0
